The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
414       1394      6115      0.41202        6.36109        0.86253        -29.99759      
415       1476      6115      0.41096        1.08438        0.86212        -29.88602      
416       1558      6115      0.41007        -4.31371       0.86198        -29.77793      
417       1640      6115      0.40926        -9.65989       0.86207        -29.6793       
418       1722      6115      0.40873        -15.01327      0.86233        -29.59003      
419       1804      6115      0.40811        -20.40188      0.86273        -29.51024      
420       1886      6115      0.40751        -25.72636      0.86321        -29.44099      
421       1968      6115      0.40704        -31.1563       0.86376        -29.37943      
422       2050      6115      0.40631        -36.52154      0.86435        -29.32714      
423       2132      6115      0.40615        -41.87772      0.86494        -29.2817       
424       2214      6115      0.40595        -47.2864       0.86556        -29.2424       
425       2296      6115      0.40607        -52.63679      0.86616        -29.20892      
426       2378      6115      0.40612        -58.04151      0.86677        -29.18021      
427       2460      6115      0.40638        -63.43786      0.86737        -29.15578      
428       2542      6115      0.40686        -68.77749      0.86795        -29.1352       
429       2624      6115      0.40745        -74.14068      0.86851        -29.11781      
430       2706      6115      0.40785        -79.43177      0.86906        -29.10373      
431       2788      6115      0.40867        -84.8147       0.8696         -29.09168      
432       2870      6115      0.40917        -90.11712      0.87013        -29.0824       
433       2952      6115      0.40982        -95.43697      0.87064        -29.07502      
